customers  sold      lost   fraction_served   overstock  end_stock   profit
    94      88         6         0.936         4975        17       1202.50
   105     101         4         0.962         1870         4       1793.00
    84      83         1         0.988         6584        22        991.60
   105     101         4         0.962         2777         4       1702.30
   103     101         2         0.981         2539         4       1746.10
    97      97         0         1.000         5552         8       1384.80
   112      99        13         0.884         1599         6       1690.10
   102     102         0         1.000         2555         3       1784.50
   108      95        13         0.880         2669        10       1503.10
   118     103        15         0.873          706         2       1839.40
   100      99         1         0.990         3746         6       1595.40
    96      87         9         0.906         4406        18       1209.40
   129     100        29         0.775          617         5       1648.30
   102      99         3         0.971         3160         6       1634.00
   104      97         7         0.933         2835         8       1586.50
    91      90         1         0.989         6875        15       1102.50
   111     101        10         0.910         2464         4       1673.60
    82      82         0         1.000         7113        23        928.70
   101     101         0         1.000         2392         4       1780.80
   112     104         8         0.929         2201         1       1779.90
    91      90         1         0.989         6511        15       1138.90
   104     104         0         1.000         1773         1       1902.70
    96      95         1         0.990         1852        10       1704.80
   113     104         9         0.920         1172         1       1872.80
    99      95         4         0.960         4986        10       1361.40
    86      86         0         1.000         7565        19        963.50
    98      98         0         1.000         3272         7       1632.80
   104     104         0         1.000         4522         1       1627.80
    97      89         8         0.918         4887        16       1211.30
    94      89         5         0.947         3502        16       1379.80
   104     103         1         0.990         1290         2       1921.00
    91      86         5         0.945         5176        19       1152.40
   103      96         7         0.932         1970         9       1653.00
   107     105         2         0.981         2698         0       1810.20
   106     100         6         0.943         1715         5       1768.50
   119     100        19         0.840          711         5       1738.90
   110     104         6         0.945         1812         1       1838.80
   107      98         9         0.916         1524         7       1717.60
   109     105         4         0.963         1509         0       1909.10
    93      92         1         0.989         5004        13       1329.60
   110     100        10         0.909         1119         5       1788.10
   102      97         5         0.951         2185         8       1671.50
   101     101         0         1.000         5575         4       1462.50
   102     101         1         0.990         4040         4       1606.00
   117     105        12         0.897          489         0       1931.10
   104     101         3         0.971         1368         4       1853.20
   101     100         1         0.990         1876         5       1802.40
   102     101         1         0.990         2801         4       1729.90
   117     104        13         0.889         1487         1       1801.30
   118     105        13         0.890         1444         0       1825.60
   105      97         8         0.924         2365         8       1623.50
   114     105         9         0.921         1265         0       1883.50
    87      85         2         0.977         4333        20       1246.70
   106     101         5         0.953         1360         4       1834.00
   117     104        13         0.889          576         1       1892.40
   102      93         9         0.912         3347        12       1435.30
   105     104         1         0.990         2584         1       1811.60
    89      85         4         0.955         6215        20       1038.50
   100      99         1         0.990         3319         6       1638.10
    99      99         0         1.000         6139         6       1366.10
    94      94         0         1.000         6059        11       1274.10
   103     103         0         1.000         4207         2       1639.30
   107      97        10         0.907         1476         8       1692.40
   110     102         8         0.927         1704         3       1789.60
    92      91         1         0.989         4205        14       1389.50
    98      95         3         0.969         2547        10       1615.30
    91      86         5         0.945         4420        19       1228.00
   123     105        18         0.854         1859         0       1734.10
   107     101         6         0.944         3264         4       1633.60
    93      93         0         1.000         3884        12       1471.60
   111     102         9         0.919         1930         3       1757.00
   112     101        11         0.902          986         4       1811.40
   104      97         7         0.933         1247         8       1745.30
   108      97        11         0.898         4199         8       1410.10
   100      89        11         0.890         2662        16       1403.80
   110     105         5         0.955          830         0       1967.00
   122     105        17         0.861         1232         0       1806.80
    98      98         0         1.000         5546         7       1405.40
   127     105        22         0.827          565         0       1823.50
   104      94        10         0.904         2899        11       1490.10
   102     101         1         0.990         1399         4       1870.10
   101      97         4         0.960         2858         8       1614.20
    90      90         0         1.000         3134        15       1486.60
   106     104         2         0.981         3168         1       1743.20
   111     104         7         0.937         1126         1       1897.40
   114     105         9         0.921         2043         0       1805.70
   119     101        18         0.849          470         4       1793.00
    94      93         1         0.989         4153        12       1434.70
   110     103         7         0.936         1125         2       1877.50
   105     101         4         0.962         4421         4       1537.90
    90      86         4         0.956         5020        19       1178.00
   101      98         3         0.970         5205         7       1409.50
    98      91         7         0.929         3861        14       1363.90
   105     105         0         1.000         1853         0       1914.70
   102      99         3         0.971         3218         6       1628.20
   108     103         5         0.954         1624         2       1847.60
   101      90        11         0.891         1841        15       1505.90
   102     100         2         0.980         2698         5       1710.20
    90      90         0         1.000         7982        15       1001.80
   109     100         9         0.917          913         5       1818.70
   104     100         4         0.962         1192         5       1840.80
   109     100         9         0.917         1406         5       1769.40
   115      97        18         0.843         1727         8       1587.30
   103     102         1         0.990         2394         3       1790.60
   107     101         6         0.944         2269         4       1733.10
   119     102        17         0.857         1069         3       1763.10
   127     104        23         0.819          476         1       1802.40
    94      94         0         1.000         6248        11       1255.20
   100     100         0         1.000         3644         5       1635.60
   107      99         8         0.925         1973         6       1702.70
   105      98         7         0.933         1461         7       1743.90
   101     101         0         1.000         2776         4       1742.40
   121     100        21         0.826          749         5       1715.10
   108     104         4         0.963         1342         1       1905.80
   106     100         6         0.943         1370         5       1803.00
    97      95         2         0.979         3919        10       1488.10
   104      98         6         0.942         3543         7       1545.70
   113     105         8         0.929         2238         0       1796.20
   104     102         2         0.981         3267         3       1693.30
   115     104        11         0.904         2774         1       1692.60
   101      98         3         0.970         2091         7       1720.90
   109     105         4         0.963         1608         0       1899.20
   113     105         8         0.929          878         0       1932.20
   103     100         3         0.971         2511         5       1718.90
   106     103         3         0.972         1754         2       1854.60
   105      99         6         0.943         2374         6       1682.60
   107      94        13         0.879         2279        11       1522.10
   112     101        11         0.902         1085         4       1801.50
   120     104        16         0.867         1469         1       1773.10
    97      94         3         0.969         6017        11       1248.30
   105     101         4         0.962         3359         4       1644.10
   100      98         2         0.980         6230         7       1317.00
    99      99         0         1.000         5842         6       1395.80
    95      95         0         1.000         4825        10       1417.50
    95      95         0         1.000         3727        10       1527.30
   101     101         0         1.000         3491         4       1670.90
    99      99         0         1.000         5182         6       1461.80
   108      96        12         0.889         2436         9       1556.40
   111      97        14         0.874         1758         8       1624.20
    99      98         1         0.990         1417         7       1808.30
   105     101         4         0.962         2936         4       1686.40
   105      96         9         0.914         1942         9       1635.80
   106      99         7         0.934         1730         6       1737.00
   107     103         4         0.963         1344         2       1885.60
   109      99        10         0.908         1101         6       1769.90
   123     105        18         0.854          414         0       1878.60
   117     105        12         0.897         1486         0       1831.40
   103      95         8         0.922         3195        10       1500.50
   101     101         0         1.000         2271         4       1792.90
    95      92         3         0.968         5898        13       1220.20
    96      94         2         0.979         2229        11       1637.10
   124     101        23         0.815         1048         4       1685.20
    91      86         5         0.945         5647        19       1105.30
    95      90         5         0.947         3921        15       1357.90
   104     102         2         0.981         2376         3       1782.40
    88      88         0         1.000         7084        17       1051.60
   110      99        11         0.900         2916         6       1578.40
    96      96         0         1.000         3514         9       1568.60
   115      95        20         0.826         1114        10       1588.60
   112     104         8         0.929         2291         1       1770.90
   102      89        13         0.873         3609        16       1289.10
    85      84         1         0.988         5620        21       1108.00
    97      89         8         0.918         3047        16       1395.30
   105     105         0         1.000         2978         0       1802.20
   107     101         6         0.944         3032         4       1656.80
   119     104        15         0.874         2648         1       1665.20
   100     100         0         1.000         2953         5       1704.70
    95      95         0         1.000         6185        10       1281.50
   105      98         7         0.933         2180         7       1672.00
    88      88         0         1.000         5102        17       1249.80
   110     105         5         0.955         4497         0       1600.30
   109      99        10         0.908         2440         6       1636.00
   103      97         6         0.942         4019         8       1478.10
   101      91        10         0.901         4201        14       1299.90
    93      93         0         1.000         5273        12       1332.70
    97      92         5         0.948         2010        13       1589.00
   106     104         2         0.981         1510         1       1909.00
    86      86         0         1.000         5805        19       1139.50
    93      93         0         1.000         3148        12       1545.20
   112      99        13         0.884         1431         6       1706.90
   104      98         6         0.942         2216         7       1678.40
    86      86         0         1.000         7360        19        984.00
    96      91         5         0.948         4417        14       1328.30
   119     101        18         0.849         1455         4       1694.50
    86      83         3         0.965         6847        22        945.30
   101      99         2         0.980         3513         6       1608.70
   103      93        10         0.903         2985        12       1461.50
    92      92         0         1.000         6092        13       1230.80
   103     102         1         0.990         4878         3       1542.20
    99      99         0         1.000         6669         6       1313.10
    91      90         1         0.989         2343        15       1555.70
   108     105         3         0.972         1856         0       1884.40
    87      87         0         1.000         4683        18       1271.70
   107      96        11         0.897         1510         9       1659.00
   112     104         8         0.929         1687         1       1831.30
   101      99         2         0.980         2682         6       1691.80
    84      84         0         1.000         8403        21        839.70
   107     102         5         0.953         3196         3       1670.40
    87      84         3         0.966         9707        21        679.30
   110     102         8         0.927         1278         3       1832.20
   101      97         4         0.960         2733         8       1626.70
   104      92        12         0.885         2846        13       1435.40
   117     104        13         0.889         1744         1       1775.60
   102      98         4         0.961         2321         7       1687.90
   105     102         3         0.971         2426         3       1767.40
   116     105        11         0.905          565         0       1933.50
   102     102         0         1.000         2500         3       1790.00
   108      97        11         0.898         2288         8       1601.20
   104      95         9         0.913         1872        10       1622.80
    91      88         3         0.967         5112        17       1218.80
    91      88         3         0.967         3830        17       1347.00
    97      94         3         0.969         3666        11       1483.40
   107      98         9         0.916         1587         7       1711.30
    97      92         5         0.948         4385        13       1351.50
    95      92         3         0.968         4570        13       1353.00
   102      97         5         0.951         3608         8       1529.20
   101      90        11         0.891         4021        15       1287.90
   105     105         0         1.000         1226         0       1977.40
   103      99         4         0.961         1556         6       1784.40
   101      97         4         0.960         2496         8       1650.40
   108      93        15         0.861         1915        12       1518.50
   103      97         6         0.942         1381         8       1741.90
    99      99         0         1.000         4228         6       1557.20
   110     105         5         0.955         2350         0       1815.00
   124     104        20         0.839          431         1       1836.90
   103     100         3         0.971         1874         5       1782.60
    86      86         0         1.000         6845        19       1035.50
    86      85         1         0.988         7343        20        955.70
    96      90         6         0.938         6809        15       1059.10
   105     101         4         0.962         1548         4       1825.20
    94      94         0         1.000         6585        11       1221.50
    85      85         0         1.000         9324        20        767.60
   113     105         8         0.929         1234         0       1896.60
    87      86         1         0.989         5694        19       1140.60
    99      99         0         1.000         3078         6       1672.20
    91      90         1         0.989         2778        15       1512.20
   118     105        13         0.890         1699         0       1800.10
   110      99        11         0.900         2215         6       1648.50
    97      95         2         0.979         4755        10       1404.50
    88      86         2         0.977         7099        19        990.10
   102     102         0         1.000         5974         3       1442.60
   113     104         9         0.920         1052         1       1884.80
   103      98         5         0.951         6507         7       1259.30
   117      99        18         0.846         2930         6       1507.00
   105     105         0         1.000         2787         0       1821.30
    91      90         1         0.989         4500        15       1340.00
   117     100        17         0.855          728         5       1757.20
    98      98         0         1.000         3386         7       1621.40
    94      93         1         0.989         5958        12       1254.20
   100      97         3         0.970         5969         8       1313.10
   109     105         4         0.963         2810         0       1779.00
    99      89        10         0.899         2644        16       1415.60
   105      99         6         0.943         2498         6       1670.20
   109     103         6         0.945          921         2       1907.90
   106      98         8         0.925         2305         7       1649.50
   103      99         4         0.961         2363         6       1703.70
